PACIFIC Exchange Rate Service,,,,,,,
Jul.Day,YYYY/MM/DD,Wdy,USD/XDR,CAD/XDR,EUR/XDR,GBP/XDR,JPY/XDR
2458851,2020/1/2,Thu,1.3835,1.7974,1.2379,1.0521,150.16
2458852,2020/1/3,Fri,1.3828,1.7959,1.2388,1.0569,149.41
2458855,2020/1/6,Mon,1.3841,1.7952,1.2368,1.052,149.85
2458856,2020/1/7,Tue,1.3825,1.7986,1.2402,1.0536,150
2458857,2020/1/8,Wed,1.3808,1.7986,1.2421,1.0535,150.38
2458858,2020/1/9,Thu,1.3797,1.8046,1.2423,1.0568,151.01
2458859,2020/1/10,Fri,1.3802,1.8013,1.2419,1.0566,151.24
2458862,2020/1/13,Mon,1.3806,1.8014,1.24,1.0628,151.76
2458863,2020/1/14,Tue,1.3804,1.8031,1.2409,1.061,151.9
2458864,2020/1/15,Wed,1.3816,1.803,1.2389,1.0609,151.9
2458865,2020/1/16,Thu,1.3816,1.8022,1.2402,1.0576,152.09
2458866,2020/1/17,Fri,1.3799,1.8024,1.2437,1.0592,151.98
2458869,2020/1/20,Mon,1.3792,1.8002,1.244,1.061,151.92
2458870,2020/1/21,Tue,1.3795,1.8026,1.243,1.0567,151.6
2458871,2020/1/22,Wed,1.3797,1.8096,1.2445,1.0505,151.68
2458872,2020/1/23,Thu,1.3783,1.8114,1.2464,1.0511,150.83
2458873,2020/1/24,Fri,1.377,1.8094,1.2484,1.0526,150.53
2458876,2020/1/27,Mon,1.3767,1.8148,1.2494,1.0544,149.98
2458877,2020/1/28,Tue,1.3757,1.8131,1.2496,1.0583,150.09
2458878,2020/1/29,Wed,1.3755,1.8151,1.2501,1.0574,150.13
2458879,2020/1/30,Thu,1.3776,1.8208,1.2489,1.0523,149.86
2458880,2020/1/31,Fri,1.3803,1.8265,1.2465,1.0476,149.84
2458883,2020/2/3,Mon,1.3765,1.8273,1.2447,1.0578,149.53
2458884,2020/2/4,Tue,1.3757,1.8266,1.2458,1.0557,150.46
2458885,2020/2/5,Wed,1.3741,1.826,1.2488,1.0572,150.79
2458886,2020/2/6,Thu,1.3727,1.8243,1.2499,1.0608,150.89
2458887,2020/2/7,Fri,1.3709,1.824,1.2515,1.0615,150.49
2458890,2020/2/10,Mon,1.3701,1.8249,1.2544,1.0602,150.32
2458891,2020/2/11,Tue,1.3703,1.8215,1.2553,1.0581,150.53
2458892,2020/2/12,Wed,1.3691,1.8147,1.2575,1.0558,150.59
2458893,2020/2/13,Thu,1.3683,1.8138,1.2615,1.0487,150.27
2458894,2020/2/14,Fri,1.3679,1.8123,1.2614,1.0498,150.15
2458898,2020/2/18,Tue,1.366,1.811,1.2641,1.0497,150.04
2458899,2020/2/19,Wed,1.3637,1.8043,1.2633,1.054,151.49
2458900,2020/2/20,Thu,1.3618,1.805,1.2612,1.0576,152.58
2458901,2020/2/21,Fri,1.3646,1.8046,1.2583,1.053,152.41
2458904,2020/2/24,Mon,1.3653,1.813,1.2584,1.0566,151.21
2458905,2020/2/25,Tue,1.3675,1.8161,1.2585,1.0522,150.72
2458906,2020/2/26,Wed,1.3669,1.8189,1.2565,1.0581,150.95
2458907,2020/2/27,Thu,1.3713,1.8323,1.2488,1.0643,150.8
2458908,2020/2/28,Fri,1.3733,1.8441,1.2489,1.0728,148.6
