PACIFIC Exchange Rate Service,,,,,,,,,,,,
Jul.Day,YYYY/MM/DD,Wdy,TWD/XDR,THB/XDR,TTD/XDR,TND/XDR,TRY/XDR,AED/XDR,USD/XDR,UYU/XDR,VEF/XDR,VND/XDR
2458851,2020/1/2,Thu,41.531,41.685,,,8.2414,,1.3835,,,
2458852,2020/1/3,Fri,41.543,41.717,,,8.2609,,1.3828,,,
2458855,2020/1/6,Mon,41.623,41.705,,,8.2652,,1.3841,,,
2458856,2020/1/7,Tue,41.547,41.896,,,8.2578,,1.3825,,,
2458857,2020/1/8,Wed,41.47,41.938,,,8.1865,,1.3808,,,
2458858,2020/1/9,Thu,41.351,41.86,,,8.1031,,1.3797,,,
2458859,2020/1/10,Fri,41.37,41.663,,,8.1029,,1.3802,,,
2458862,2020/1/13,Mon,41.269,41.727,,,8.0998,,1.3806,,,
2458863,2020/1/14,Tue,41.28,41.731,,,8.122,,1.3804,,,
2458864,2020/1/15,Wed,41.363,41.709,,,8.1217,,1.3816,,,
2458865,2020/1/16,Thu,41.345,41.983,,,8.089,,1.3816,,,
2458866,2020/1/17,Fri,41.341,41.954,,,8.1338,,1.3799,,,
2458869,2020/1/20,Mon,41.327,41.812,,,8.1606,,1.3792,,,
2458870,2020/1/21,Tue,41.419,41.972,,,8.1824,,1.3795,,,
2458871,2020/1/22,Wed,41.39,42.14,,,8.1696,,1.3797,,,
2458872,2020/1/23,Thu,41.404,42.042,,,8.1818,,1.3783,,,
2458873,2020/1/24,Fri,41.376,42.107,,,8.1797,,1.377,,,
2458876,2020/1/27,Mon,41.5,42.276,,,8.1895,,1.3767,,,
2458877,2020/1/28,Tue,41.423,42.398,,,8.1781,,1.3757,,,
2458878,2020/1/29,Wed,41.394,42.661,,,8.1983,,1.3755,,,
2458879,2020/1/30,Thu,41.8,42.975,,,8.239,,1.3776,,,
2458880,2020/1/31,Fri,41.912,43.031,,,8.2573,,1.3803,,,
2458883,2020/2/3,Mon,41.681,42.852,,,8.2385,,1.3765,,,
2458884,2020/2/4,Tue,41.458,42.574,,,8.2207,,1.3757,,,
2458885,2020/2/5,Wed,41.248,42.562,,,8.2254,,1.3741,,,
2458886,2020/2/6,Thu,41.246,42.701,,,8.2176,,1.3727,,,
2458887,2020/2/7,Fri,41.359,42.88,,,8.2457,,1.3709,,,
2458890,2020/2/10,Mon,41.24,42.902,,,8.2424,,1.3701,,,
2458891,2020/2/11,Tue,41.145,42.828,,,8.2494,,1.3703,,,
2458892,2020/2/12,Wed,41.055,42.579,,,8.2785,,1.3691,,,
2458893,2020/2/13,Thu,41.045,42.605,,,8.2746,,1.3683,,,
2458894,2020/2/14,Fri,41.077,42.709,,,8.2792,,1.3679,,,
2458898,2020/2/18,Tue,41.15,42.638,,,8.2846,,1.366,,,
2458899,2020/2/19,Wed,41.128,42.572,,,8.2955,,1.3637,,,
2458900,2020/2/20,Thu,41.417,42.807,,,8.3063,,1.3618,,,
2458901,2020/2/21,Fri,41.503,43.053,,,8.3314,,1.3646,,,
2458904,2020/2/24,Mon,41.573,43.314,,,8.3664,,1.3653,,,
2458905,2020/2/25,Tue,41.521,43.364,,,8.3964,,1.3675,,,
2458906,2020/2/26,Wed,41.424,43.576,,,8.417,,1.3669,,,
2458907,2020/2/27,Thu,41.463,43.441,,,8.4787,,1.3713,,,
2458908,2020/2/28,Fri,41.46,43.279,,,8.5655,,1.3733,,,
2458911,2020/3/2,Mon,41.272,43.382,,,8.5691,,1.3801,,,
2458912,2020/3/3,Tue,41.246,43.55,,,8.4416,,1.3809,,,
2458913,2020/3/4,Wed,41.314,43.382,,,8.4016,,1.3808,,,
2458914,2020/3/5,Thu,41.473,43.658,,,8.4648,,1.385,,,
2458915,2020/3/6,Fri,41.673,43.757,,,8.4822,,1.3917,,,
2458918,2020/3/9,Mon,42.013,44.011,,,8.5825,,1.4005,,,
2458919,2020/3/10,Tue,41.745,43.956,,,8.5524,,1.3927,,,
2458920,2020/3/11,Wed,41.84,43.646,,,8.6113,,1.3902,,,
2458921,2020/3/12,Thu,41.646,43.752,,,8.6795,,1.3811,,,
2458922,2020/3/13,Fri,41.403,43.76,,,8.6773,,1.3745,,,
2458925,2020/3/16,Mon,41.626,44.466,,,8.8441,,1.3769,,,
