PACIFIC Exchange Rate Service,,,,,,,,,,,,
Jul.Day,YYYY/MM/DD,Wdy,IEP/XDR,ILS/XDR,ITL/XDR,JMD/XDR,JPY/XDR,JOD/XDR,KWD/XDR,LBP/XDR,LUF/XDR,MYR/XDR
2458851,2020/1/2,Thu,0.97493,4.7799,2396.9,,150.16,,,,49.937,5.6539
2458852,2020/1/3,Fri,0.97565,4.811,2398.7,,149.41,,,,49.974,5.6747
2458855,2020/1/6,Mon,0.97405,4.8094,2394.7,,149.85,,,,49.892,5.6779
2458856,2020/1/7,Tue,0.97675,4.7975,2401.4,,150,,,,50.03,5.6641
2458857,2020/1/8,Wed,0.97824,4.7905,2405.1,,150.38,,,,50.106,5.6664
2458858,2020/1/9,Thu,0.97838,4.7967,2405.4,,151.01,,,,50.114,5.6538
2458859,2020/1/10,Fri,0.97808,4.7803,2404.7,,151.24,,,,50.098,5.6172
2458862,2020/1/13,Mon,0.97654,4.7913,2400.9,,151.76,,,,50.02,5.6099
2458863,2020/1/14,Tue,0.97732,4.7834,2402.8,,151.9,,,,50.06,5.6208
2458864,2020/1/15,Wed,0.97568,4.7735,2398.8,,151.9,,,,49.975,5.6213
2458865,2020/1/16,Thu,0.97673,4.7751,2401.3,,152.09,,,,50.029,5.6172
2458866,2020/1/17,Fri,0.97947,4.7706,2408.1,,151.98,,,,50.169,5.5997
2458869,2020/1/20,Mon,0.97975,4.7626,2408.8,,151.92,,,,50.184,5.5947
2458870,2020/1/21,Tue,0.97893,4.7704,2406.8,,151.6,,,,50.142,5.6212
2458871,2020/1/22,Wed,0.98009,4.7887,2409.6,,151.68,,,,50.201,5.6392
2458872,2020/1/23,Thu,0.98165,4.7567,2413.4,,150.83,,,,50.281,5.601
2458873,2020/1/24,Fri,0.98322,4.7572,2417.3,,150.53,,,,50.362,5.6009
2458876,2020/1/27,Mon,0.984,4.7621,2419.2,,149.98,,,,50.402,5.5948
2458877,2020/1/28,Tue,0.98416,4.7504,2419.6,,150.09,,,,50.41,5.6171
2458878,2020/1/29,Wed,0.98452,4.7648,2420.5,,150.13,,,,50.428,5.6201
2458879,2020/1/30,Thu,0.98361,4.7566,2418.3,,149.86,,,,50.382,5.6318
2458880,2020/1/31,Fri,0.98171,4.7564,2413.6,,149.84,,,,50.284,5.6564
2458883,2020/2/3,Mon,0.98026,4.7575,2410,,149.53,,,,50.21,5.6796
2458884,2020/2/4,Tue,0.98117,4.7474,2412.3,,150.46,,,,50.257,5.6556
2458885,2020/2/5,Wed,0.98353,4.736,2418.1,,150.79,,,,50.377,5.6589
2458886,2020/2/6,Thu,0.98435,4.7162,2420.1,,150.89,,,,50.42,5.6626
2458887,2020/2/7,Fri,0.98564,4.6941,2423.3,,150.49,,,,50.486,5.6717
2458890,2020/2/10,Mon,0.9879,4.6915,2428.8,,150.32,,,,50.601,5.6855
2458891,2020/2/11,Tue,0.98864,4.6746,2430.6,,150.53,,,,50.639,5.6622
2458892,2020/2/12,Wed,0.99034,4.6815,2434.8,,150.59,,,,50.726,5.6617
2458893,2020/2/13,Thu,0.99352,4.6876,2442.6,,150.27,,,,50.889,5.6665
2458894,2020/2/14,Fri,0.9934,4.691,2442.3,,150.15,,,,50.883,5.6637
2458898,2020/2/18,Tue,0.9956,4.6747,2447.7,,150.04,,,,50.996,5.6709
2458899,2020/2/19,Wed,0.99495,4.6678,2446.1,,151.49,,,,50.962,5.6797
2458900,2020/2/20,Thu,0.99324,4.67,2441.9,,152.58,,,,50.875,5.6967
2458901,2020/2/21,Fri,0.99101,4.6608,2436.5,,152.41,,,,50.761,5.7078
2458904,2020/2/24,Mon,0.99108,4.6937,2436.6,,151.21,,,,50.764,5.7685
2458905,2020/2/25,Tue,0.99115,4.6854,2436.8,,150.72,,,,50.768,5.786
2458906,2020/2/26,Wed,0.98957,4.7052,2432.9,,150.95,,,,50.687,5.7766
2458907,2020/2/27,Thu,0.98352,4.716,2418,,150.8,,,,50.377,5.7792
2458908,2020/2/28,Fri,0.9836,4.7553,2418.2,,148.6,,,,50.381,5.7814
2458911,2020/3/2,Mon,0.97491,4.8169,2396.9,,148.77,,,,49.936,5.8001
2458912,2020/3/3,Tue,0.97459,4.7782,2396.1,,148.34,,,,49.92,5.8076
2458913,2020/3/4,Wed,0.97729,4.7843,2402.7,,148.29,,,,50.058,5.7846
2458914,2020/3/5,Thu,0.97417,4.8011,2395.1,,147.58,,,,49.898,5.7558
2458915,2020/3/6,Fri,0.96859,4.859,2381.3,,146.61,,,,49.612,5.8065
2458918,2020/3/9,Mon,0.96399,4.9127,2370,,143.19,,,,49.377,5.8921
2458919,2020/3/10,Tue,0.96723,4.928,2378,,145.42,,,,49.543,5.9245
2458920,2020/3/11,Wed,0.96898,4.945,2382.3,,145.53,,,,49.632,5.8877
2458921,2020/3/12,Thu,0.97355,5.0296,2393.5,,145.03,,,,49.866,5.8945
2458922,2020/3/13,Fri,0.97526,5.0742,2397.7,,147.66,,,,49.954,5.8987
2458925,2020/3/16,Mon,0.97229,5.1714,2390.4,,145.77,,,,49.802,5.9506
2458926,2020/3/17,Tue,0.98003,5.2987,2409.5,,146.71,,,,50.198,5.9691
2458927,2020/3/18,Wed,0.98343,5.2089,2417.8,,146.75,,,,50.372,5.9766
2458928,2020/3/19,Thu,0.98969,4.9799,2433.2,,148.53,,,,50.693,5.9664
2458929,2020/3/20,Fri,0.99244,4.897,2440,,149.49,,,,50.834,5.9564
2458932,2020/3/23,Mon,0.98709,4.9834,2426.8,,149.67,,,,50.56,6.0359
2458933,2020/3/24,Tue,0.98669,4.9078,2425.8,,150.44,,,,50.539,5.9872
2458934,2020/3/25,Wed,0.98341,4.9072,2417.8,,150.69,,,,50.371,5.9135
2458935,2020/3/26,Thu,0.97662,4.9154,2401.1,,149.45,,,,50.024,5.911
2458936,2020/3/27,Fri,0.97624,4.8868,2400.1,,148.15,,,,50.004,5.9042
2458939,2020/3/30,Mon,0.97762,4.9046,2403.5,,147.83,,,,50.075,5.9293
2458940,2020/3/31,Tue,0.98062,4.848,2410.9,,147.67,,,,50.229,5.8808
2458941,2020/4/1,Wed,0.98431,4.8565,2420,,146.45,,,,50.418,5.9318
2458942,2020/4/2,Thu,0.98859,4.9752,2430.5,,146.74,,,,50.636,5.9442
2458943,2020/4/3,Fri,0.99107,4.931,2436.6,,147.33,,,,50.763,5.9028
2458946,2020/4/6,Mon,0.99082,4.9153,2436,,148.16,,,,50.751,5.9139
2458947,2020/4/7,Tue,0.9853,4.897,2422.4,,148.54,,,,50.468,5.9082
2458948,2020/4/8,Wed,0.98738,4.903,2427.5,,148.25,,,,50.575,5.935
2458949,2020/4/9,Thu,0.9849,4.8709,2421.4,,148.21,,,,50.448,5.8993
2458953,2020/4/13,Mon,0.98636,,2425,,147.2,,,,50.522,
2458954,2020/4/14,Tue,0.98381,4.9055,2418.7,,146.91,,,,50.392,5.933
2458955,2020/4/15,Wed,0.98684,4.9481,2426.2,,146.92,,,,50.547,5.9402
2458956,2020/4/16,Thu,0.98932,4.9004,2432.3,,146.79,,,,50.674,5.9754
