PACIFIC Exchange Rate Service,,,,,,,,,,,,
Jul.Day,YYYY/MM/DD,Wdy,MTL/XDR,MXN/XDR,MAD/XDR,NZD/XDR,NOK/XDR,XCB/XDR,XCT/XDR,PKR/XDR,PAB/XDR,PEN/XDR
2458851,2020/1/2,Thu,0.53143,26.114,,2.0663,12.178,0.020634,0.022617,212.99,,4.5678
2458852,2020/1/3,Fri,0.53183,26.145,,2.0736,12.201,0.020017,0.021948,213.59,,4.5779
2458855,2020/1/6,Mon,0.53095,26.085,,2.0759,12.179,0.019703,0.021876,213.85,,4.5995
2458856,2020/1/7,Tue,0.53242,26.108,,2.0838,12.235,0.020113,0.02205,213.67,,4.5975
2458857,2020/1/8,Wed,0.53324,25.965,,2.0783,12.235,0.020513,0.023148,213.36,,4.5812
2458858,2020/1/9,Thu,0.53332,25.983,,2.0874,12.251,0.020723,0.023165,212.71,,4.5813
2458859,2020/1/10,Fri,0.53315,25.929,,2.0807,12.27,0.020671,0.023385,213.08,,4.5892
2458862,2020/1/13,Mon,0.53231,25.976,,2.0813,12.279,0.021525,0.023734,213.44,,4.6048
2458863,2020/1/14,Tue,0.53274,25.955,,2.0869,12.258,0.021418,0.023661,213.21,,4.5915
2458864,2020/1/15,Wed,0.53184,25.976,,2.091,12.241,0.02183,0.023879,213.01,,4.5925
2458865,2020/1/16,Thu,0.53241,25.965,,2.0806,12.277,0.021376,0.023608,212.86,,4.5917
2458866,2020/1/17,Fri,0.53391,25.838,,2.0859,12.295,0.021544,0.023568,213.19,,4.5829
2458869,2020/1/20,Mon,0.53406,25.747,,2.0884,12.313,0.021339,,213.28,,4.5784
2458870,2020/1/21,Tue,0.53361,25.829,,2.0887,12.363,0.02167,0.023682,213.21,,4.5774
2458871,2020/1/22,Wed,0.53424,25.788,,2.0917,12.394,0.022213,0.024307,212.65,,4.5742
2458872,2020/1/23,Thu,0.5351,25.878,,2.0896,12.407,0.022499,0.024829,212.59,,4.5755
2458873,2020/1/24,Fri,0.53595,25.903,,2.0838,12.444,0.023205,0.025457,211.96,,4.576
2458876,2020/1/27,Mon,0.53638,26.048,,2.1009,12.577,0.023518,0.025932,211.78,,4.5898
2458877,2020/1/28,Tue,0.53646,25.849,,2.1065,12.573,0.023172,0.025797,212.13,,4.5878
2458878,2020/1/29,Wed,0.53666,25.732,,2.1089,12.605,0.023133,0.025812,211.78,,4.5999
2458879,2020/1/30,Thu,0.53617,25.901,,2.1234,12.689,0.023867,0.026396,212.19,,4.6331
2458880,2020/1/31,Fri,0.53513,26.06,,2.1345,12.711,0.023893,0.02676,212.65,,4.6631
2458883,2020/2/3,Mon,0.53434,25.864,,2.1295,12.769,0.025491,0.027497,211.91,,4.6449
2458884,2020/2/4,Tue,0.53483,25.713,,2.1242,12.685,0.025523,0.027741,211.89,,4.6244
2458885,2020/2/5,Wed,0.53612,25.575,,2.1216,12.654,0.024821,0.027012,211.5,,4.6182
2458886,2020/2/6,Thu,0.53657,25.601,,2.1238,12.669,0.024877,0.026947,210.72,,4.6314
2458887,2020/2/7,Fri,0.53727,25.726,,2.1398,12.737,0.02514,0.027232,211.16,,4.6435
2458890,2020/2/10,Mon,0.5385,25.699,,2.1444,12.717,0.025663,0.027629,211.06,,4.6505
2458891,2020/2/11,Tue,0.53891,25.59,,2.1404,12.675,0.025377,0.027407,210.91,,4.643
2458892,2020/2/12,Wed,0.53983,25.505,,2.1167,12.628,0.024651,0.026778,211.55,,4.6292
2458893,2020/2/13,Thu,0.54156,25.496,,2.1224,12.666,0.024286,0.026615,210.36,,4.6306
2458894,2020/2/14,Fri,0.5415,25.4,,2.1259,12.656,0.023843,0.02629,210.31,,4.6256
2458898,2020/2/18,Tue,0.5427,25.411,,2.1379,12.727,0.023818,0.026218,210.79,,4.6223
2458899,2020/2/19,Wed,0.54235,25.348,,2.1373,12.653,0.022834,0.02558,209.73,,4.6134
2458900,2020/2/20,Thu,0.54141,25.595,,2.149,12.684,0.022861,0.025327,209.29,,4.6186
2458901,2020/2/21,Fri,0.5402,25.809,,2.1516,12.681,0.023287,0.025574,210.55,,4.6259
2458904,2020/2/24,Mon,0.54024,26.09,,2.1532,12.759,0.024075,0.026583,209.91,,4.6475
2458905,2020/2/25,Tue,0.54028,26.101,,2.1623,12.817,0.024733,0.027471,210.51,,4.658
2458906,2020/2/26,Wed,0.53941,26.217,,2.1698,12.836,0.02487,0.028085,210.13,,4.6638
2458907,2020/2/27,Thu,0.53611,26.605,,2.1696,12.876,0.026276,0.029072,210.83,,4.7053
2458908,2020/2/28,Fri,0.53616,27.14,,2.2025,12.987,0.026764,0.030633,211.27,,4.7444
2458911,2020/3/2,Mon,0.53142,27.11,,2.2051,12.872,0.026277,0.029501,212.63,,4.7517
2458912,2020/3/3,Tue,0.53125,26.767,,2.1953,12.788,0.026434,0.029214,212.24,,4.7353
2458913,2020/3/4,Wed,0.53272,26.878,,2.1965,12.797,0.026626,0.029517,211.76,,4.7246
2458914,2020/3/5,Thu,0.53102,27.461,,2.1994,12.867,0.027004,0.030175,213.13,,4.7764
2458915,2020/3/6,Fri,0.52798,28.091,,2.1897,12.881,0.030519,0.033828,213.91,,4.8338
2458918,2020/3/9,Mon,0.52547,29.655,,2.1974,13.318,0.039642,0.045106,217.87,,4.8932
2458919,2020/3/10,Tue,0.52724,29.08,,2.2162,13.336,0.039154,0.040403,218.84,,4.8759
2458920,2020/3/11,Wed,0.52819,29.466,,2.2047,13.391,0.040354,0.041962,220.68,,4.8783
2458921,2020/3/12,Thu,0.53068,30.445,,2.2425,13.972,0.044521,0.04376,218.31,,4.8814
2458922,2020/3/13,Fri,0.53161,29.949,,2.2572,13.816,0.042621,0.043333,214.78,,4.8508
2458925,2020/3/16,Mon,0.52999,31.304,,2.2706,14.148,0.04921,0.047545,217.63,,4.8812
2458926,2020/3/17,Tue,0.53422,31.446,,2.2965,14.324,0.048881,0.050712,217.22,,4.8535
