PACIFIC Exchange Rate Service,,,,,,,,,,,
Jul.Day,YYYY/MM/DD,Wdy,SKK/XDR,SIT/XDR,ZAR/XDR,KRW/XDR,ESP/XDR,LKR/XDR,SDD/XDR,SEK/XDR,CHF/XDR
2458851,2020/1/2,Thu,37.293,296.65,19.501,1603.4,205.97,,,12.95,1.344
2458852,2020/1/3,Fri,37.321,296.87,19.742,1612.1,206.12,,,12.995,1.3437
2458855,2020/1/6,Mon,37.259,296.38,19.695,1617.3,205.78,,,13.028,1.3413
2458856,2020/1/7,Tue,37.363,297.2,19.771,1614.5,206.35,,,13.061,1.3428
2458857,2020/1/8,Wed,37.42,297.66,19.605,1611.6,206.67,,,13.052,1.3422
2458858,2020/1/9,Thu,37.425,297.7,19.621,1599.8,206.7,,,13.095,1.3421
2458859,2020/1/10,Fri,37.414,297.61,19.718,1599.7,206.64,,,13.119,1.3435
2458862,2020/1/13,Mon,37.355,297.14,19.903,1597,206.31,,,13.082,1.3401
2458863,2020/1/14,Tue,37.385,297.38,19.875,1597.1,206.48,,,13.056,1.3365
2458864,2020/1/15,Wed,37.322,296.88,19.868,1599.8,206.13,,,13.065,1.3319
2458865,2020/1/16,Thu,37.362,297.2,19.905,1602,206.35,,,13.107,1.3324
2458866,2020/1/17,Fri,37.467,298.03,19.945,1602.2,206.93,,,13.128,1.3357
2458869,2020/1/20,Mon,37.477,298.12,20.012,1600.2,206.99,,,13.131,1.3362
2458870,2020/1/21,Tue,37.446,297.87,19.973,1610.9,206.82,,,13.119,1.335
2458871,2020/1/22,Wed,37.49,298.22,19.8,1607.1,207.06,,,13.122,1.3372
2458872,2020/1/23,Thu,37.55,298.7,19.843,1611.6,207.39,,,13.136,1.3356
2458873,2020/1/24,Fri,37.61,299.17,19.839,1609.7,207.72,,,13.169,1.3367
2458876,2020/1/27,Mon,37.64,299.41,20.093,1620.4,207.89,,,13.237,1.335
2458877,2020/1/28,Tue,37.646,299.46,20.078,1621.7,207.92,,,13.234,1.3389
2458878,2020/1/29,Wed,37.66,299.57,20.096,1622.1,208,,,13.23,1.3409
2458879,2020/1/30,Thu,37.625,299.29,20.374,1641.9,207.8,,,13.291,1.3353
2458880,2020/1/31,Fri,37.553,298.72,20.66,1653,207.4,,,13.313,1.3318
2458883,2020/2/3,Mon,37.497,298.27,20.502,1640.3,207.1,,,13.289,1.3293
2458884,2020/2/4,Tue,37.532,298.55,20.316,1630.9,207.29,,,13.208,1.3337
2458885,2020/2/5,Wed,37.622,299.27,20.291,1626,207.79,,,13.165,1.3375
2458886,2020/2/6,Thu,37.654,299.52,20.434,1625.9,207.96,,,13.21,1.3384
2458887,2020/2/7,Fri,37.703,299.91,20.656,1637.3,208.23,,,13.227,1.3392
2458890,2020/2/10,Mon,37.789,300.6,20.576,1627.9,208.71,,,13.243,1.3389
2458891,2020/2/11,Tue,37.818,300.82,20.327,1620.5,208.87,,,13.209,1.3382
