PACIFIC Exchange Rate Service,,,,,,,,,,,,
Jul.Day,YYYY/MM/DD,Wdy,DZD/XDR,ARS/XDR,AUD/XDR,ATS/XDR,BSD/XDR,BHD/XDR,BBD/XDR,BEF/XDR,BMD/XDR,BRL/XDR
2458851,2020/1/2,Thu,,82.729,1.9798,17.034,,,,49.937,,5.5717
2458852,2020/1/3,Fri,,82.735,1.9877,17.047,,,,49.974,,5.5983
2458855,2020/1/6,Mon,,82.559,1.9956,17.019,,,,49.892,,5.617
2458856,2020/1/7,Tue,,82.678,2.0132,17.066,,,,50.03,,5.6363
2458857,2020/1/8,Wed,,82.561,2.0111,17.092,,,,50.106,,5.603
2458858,2020/1/9,Thu,,82.418,2.0127,17.094,,,,50.114,,5.6287
2458859,2020/1/10,Fri,,82.507,2.0007,17.089,,,,50.098,,5.6289
2458862,2020/1/13,Mon,,82.712,1.9987,17.062,,,,50.02,,5.7079
2458863,2020/1/14,Tue,,82.94,1.9999,17.076,,,,50.06,,5.7096
2458864,2020/1/15,Wed,,82.677,2.0022,17.047,,,,49.975,,5.7642
2458865,2020/1/16,Thu,,82.945,2.0018,17.065,,,,50.029,,5.7801
2458866,2020/1/17,Fri,,82.751,2.0056,17.113,,,,50.169,,5.7641
2458869,2020/1/20,Mon,,82.694,2.0081,17.118,,,,50.184,,5.7718
2458870,2020/1/21,Tue,,82.839,2.0123,17.104,,,,50.142,,5.7942
2458871,2020/1/22,Wed,,82.82,2.0162,17.124,,,,50.201,,5.774
2458872,2020/1/23,Thu,,82.752,2.0127,17.151,,,,50.281,,5.7433
2458873,2020/1/24,Fri,,82.671,2.0164,17.179,,,,50.362,,5.7568
2458876,2020/1/27,Mon,,82.814,2.0359,17.192,,,,50.402,,5.8036
2458877,2020/1/28,Tue,,82.816,2.0374,17.195,,,,50.41,,5.7815
2458878,2020/1/29,Wed,,,2.0388,17.201,,,,50.428,,5.7954
2458879,2020/1/30,Thu,,82.989,2.0528,17.186,,,,50.382,,5.8641
2458880,2020/1/31,Fri,,83.335,2.0615,17.152,,,,50.284,,5.9054
2458883,2020/2/3,Mon,,83.033,2.0571,17.127,,,,50.21,,5.8436
2458884,2020/2/4,Tue,,83.36,2.0439,17.143,,,,50.257,,5.8396
2458885,2020/2/5,Wed,,83.209,2.0355,17.184,,,,50.377,,5.8377
