PACIFIC Exchange Rate Service,,,,,,,,,,,,
Jul.Day,YYYY/MM/DD,Wdy,GBP/XDR,BGN/XDR,CAD/XDR,CLP/XDR,CNY/XDR,COP/XDR,HRK/XDR,CYP/XDR,CZK/XDR,DKK/XDR
2458851,2020/1/2,Thu,1.0521,2.4163,1.7974,1037.93,9.6326,4497.6,9.1972,0.72452,31.394,9.2311
2458852,2020/1/3,Fri,1.0569,2.4272,1.7959,1046.86,9.6348,4497.4,9.2412,0.72505,31.473,9.2745
2458855,2020/1/6,Mon,1.052,2.4172,1.7952,1069.03,9.6568,4494.5,9.2015,0.72386,31.27,9.2364
2458856,2020/1/7,Tue,1.0536,2.4226,1.7986,1062.24,9.6026,4506.3,9.2254,0.72586,31.309,9.2567
2458857,2020/1/8,Wed,1.0535,2.431,1.7986,1049.34,9.5924,4476.2,9.2588,0.72697,31.404,9.2888
2458858,2020/1/9,Thu,1.0568,2.4332,1.8046,1056.61,9.5631,4485.1,9.2635,0.72708,31.417,9.2972
2458859,2020/1/10,Fri,1.0566,2.4299,1.8013,1063.45,9.5507,4525.9,9.2492,0.72686,31.39,9.2847
2458862,2020/1/13,Mon,1.0628,2.4274,1.8014,1069.22,9.5161,4532.7,9.2397,0.72571,31.314,9.2753
2458863,2020/1/14,Tue,1.061,2.4274,1.8031,1063.16,9.505,4530.5,9.2401,0.72629,31.22,9.275
2458864,2020/1/15,Wed,1.0609,2.4211,1.803,1072.07,9.5197,4563.7,9.2154,0.72507,31.126,9.2506
2458865,2020/1/16,Thu,1.0576,2.4211,1.8022,1070.59,9.5055,4585.3,9.2121,0.72585,31.158,9.2506
2458866,2020/1/17,Fri,1.0592,2.4315,1.8024,1065.21,9.4666,4584.1,9.247,0.72789,31.264,9.2906
2458869,2020/1/20,Mon,1.061,2.4304,1.8002,1061.76,9.4699,4594.4,9.2401,0.7281,31.222,9.2858
2458870,2020/1/21,Tue,1.0567,2.4293,1.8026,1065.88,9.5273,4621,9.2383,0.72749,31.135,9.2818
2458871,2020/1/22,Wed,1.0505,2.4467,1.8096,1063.53,9.529,4592,9.3043,0.72835,31.445,9.3485
2458872,2020/1/23,Thu,1.0511,2.4268,1.8114,1071.83,9.5591,4640.4,9.2363,0.72951,31.217,9.2728
2458873,2020/1/24,Fri,1.0526,2.442,1.8094,1069.22,9.5531,4647.6,9.2915,0.73068,31.415,9.3308
2458876,2020/1/27,Mon,1.0544,2.4413,1.8148,1087.13,9.5515,4678.4,9.2887,0.73126,31.494,9.3277
2458877,2020/1/28,Tue,1.0583,2.4428,1.8131,1082.45,9.5425,4666.1,9.294,0.73137,31.502,9.3337
2458878,2020/1/29,Wed,1.0574,2.4489,1.8151,1087.94,9.5432,4671.3,9.3185,0.73164,31.564,9.3571
2458879,2020/1/30,Thu,1.0523,2.443,1.8208,1096.66,9.5581,4701.7,9.2962,0.73097,31.54,9.3344
2458880,2020/1/31,Fri,1.0476,2.4423,1.8265,1103.95,9.573,4730.5,9.2956,0.72955,31.481,9.3319
2458883,2020/2/3,Mon,1.0578,2.44,1.8273,1084.1,9.6631,4677,9.2899,0.72847,31.41,9.3229
2458884,2020/2/4,Tue,1.0557,2.4351,1.8266,1076.13,9.6291,4636.2,9.278,0.72915,31.305,9.3042
2458885,2020/2/5,Wed,1.0572,2.4388,1.826,1068.21,9.5804,4610.6,9.2982,0.7309,31.242,9.3182
2458886,2020/2/6,Thu,1.0608,2.4422,1.8243,1075.33,9.5664,4642.2,9.3105,0.73152,31.083,9.3307
2458887,2020/2/7,Fri,1.0615,2.4427,1.824,1082.95,9.5947,4676.8,9.3109,0.73248,31.261,9.3326
2458890,2020/2/10,Mon,1.0602,2.4479,1.8249,1088.73,9.5693,4720.4,9.3309,0.73415,31.323,9.3526
2458891,2020/2/11,Tue,1.0581,2.4577,1.8215,1085.21,9.5465,4692.5,9.3731,0.73471,31.371,9.3896
2458892,2020/2/12,Wed,1.0558,2.4531,1.8147,1082.89,9.5458,4632,9.3536,0.73596,31.203,9.3715
2458893,2020/2/13,Thu,1.0487,2.4625,1.8138,1085.89,9.5463,4624.5,9.3816,0.73833,31.269,9.4078
2458894,2020/2/14,Fri,1.0498,2.4678,1.8123,1081.21,9.5586,4624.5,9.3991,0.73824,31.328,9.4273
2458898,2020/2/18,Tue,1.0497,2.4691,1.811,1086.83,9.5568,4652.8,9.3979,0.73987,31.433,9.4309
2458899,2020/2/19,Wed,1.054,2.471,1.8043,1088.04,9.5414,4625.1,9.4065,0.73939,31.537,9.4368
2458900,2020/2/20,Thu,1.0576,2.4679,1.805,1098.36,9.5653,4621.1,9.4002,0.73812,31.593,9.4237
2458901,2020/2/21,Fri,1.053,2.4646,1.8046,1095.21,9.5886,4630.5,9.387,0.73647,31.581,9.4137
