PACIFIC Exchange Rate Service,,,,,,,,,,,,
Jul.Day,YYYY/MM/DD,Wdy,DEM/XDR,GHS/XDR,XAU/XDR,GRD/XDR,HNL/XDR,HKD/XDR,HUF/XDR,ISK/XDR,INR/XDR,IDR/XDR
2458851,2020/1/2,Thu,2.4211,,0.00090596,421.82,,10.776,407.67,169.13,98.706,19122
2458852,2020/1/3,Fri,2.4229,,0.00089282,422.13,,10.754,410.2,169.9,99.222,19311
2458855,2020/1/6,Mon,2.4189,,0.00087986,421.43,,10.756,407.44,169.69,99.512,19303
2458856,2020/1/7,Tue,2.4256,,0.00088181,422.6,,10.751,410.35,170.07,99.368,19134
2458857,2020/1/8,Wed,2.4293,,0.00087837,423.25,,10.738,411.52,170.41,98.768,19134
2458858,2020/1/9,Thu,2.4297,,0.00088972,423.31,,10.716,413.67,171.31,98.234,19197
2458859,2020/1/10,Fri,2.429,,0.00088837,423.18,,10.722,414.78,169.71,97.895,18961
2458862,2020/1/13,Mon,2.4251,,0.00089076,422.51,,10.729,414.9,170.29,97.69,18962
2458863,2020/1/14,Tue,2.4271,,0.00089341,422.85,,10.733,413.01,170.28,97.782,18782
2458864,2020/1/15,Wed,2.423,,0.00089195,422.14,,10.739,412.15,169.1,97.725,18979
2458865,2020/1/16,Thu,2.4256,,0.00088872,422.59,,10.74,413.26,169.59,98.054,18773
2458866,2020/1/17,Fri,2.4324,,0.00088593,423.78,,10.716,417.22,170.82,98.066,18776
2458869,2020/1/20,Mon,2.4331,,0.000884,423.9,,10.716,418.01,170.99,97.945,18752
2458870,2020/1/21,Tue,2.4311,,0.00088925,423.55,,10.717,416.51,171.17,98.179,18777
2458871,2020/1/22,Wed,2.4339,,0.00088616,424.05,,10.72,419.85,172.39,98.079,18850
2458872,2020/1/23,Thu,2.4378,,0.00088186,424.72,,10.712,418.39,170.98,98.395,18869
2458873,2020/1/24,Fri,2.4417,,0.00088026,425.4,,10.7,419.54,171.56,98.175,18653
2458876,2020/1/27,Mon,2.4437,,0.00087129,425.74,,10.707,421.31,171.51,98.363,18709
2458877,2020/1/28,Tue,2.4441,,0.00087404,425.81,,10.697,421.15,171.37,98.005,18692
2458878,2020/1/29,Wed,2.4449,,0.00087419,425.96,,10.69,422.46,170.17,98.114,18713
2458879,2020/1/30,Thu,2.4427,,0.00087288,425.57,,10.698,422.65,169.75,98.582,18771
2458880,2020/1/31,Fri,2.438,,0.00087128,424.75,,10.719,420.89,170.2,98.731,18830
2458883,2020/2/3,Mon,2.4344,,0.0008741,424.12,,10.692,421.3,171.29,98.189,18838
2458884,2020/2/4,Tue,2.4366,,0.00088278,424.52,,10.682,418.74,171.69,97.89,18831
2458885,2020/2/5,Wed,2.4425,,0.00088463,425.54,,10.666,418.68,172.2,97.806,18825
2458886,2020/2/6,Thu,2.4445,,0.00087807,425.89,,10.656,420.5,172.44,97.714,18615
2458887,2020/2/7,Fri,2.4477,,0.0008717,426.45,,10.648,422.33,172.23,98.009,18804
2458890,2020/2/10,Mon,2.4533,,0.00087091,427.43,,10.641,422.26,172.6,97.691,18813
2458891,2020/2/11,Tue,2.4552,,0.00087256,427.75,,10.639,424.65,173.29,97.666,18778
2458892,2020/2/12,Wed,2.4594,,0.00087557,428.48,,10.637,425.81,172.96,97.614,18708
2458893,2020/2/13,Thu,2.4673,,0.00086872,429.86,,10.626,424.45,173.37,97.516,18699
2458894,2020/2/14,Fri,2.467,,0.00086499,429.81,,10.623,423.55,173.5,97.804,18684
2458898,2020/2/18,Tue,2.4725,,0.00085919,430.76,,10.609,422.71,173.84,97.734,18670
2458899,2020/2/19,Wed,2.4709,,0.00085007,430.48,,10.601,424.92,174.48,97.582,18601
2458900,2020/2/20,Thu,2.4666,,0.00084115,429.74,,10.599,426.51,174.26,97.619,18608
2458901,2020/2/21,Fri,2.4611,,0.00083041,428.78,,10.628,424.8,174.28,98.128,18798
2458904,2020/2/24,Mon,2.4613,,0.00081675,428.81,,10.64,425.89,175.72,98.213,18886
2458905,2020/2/25,Tue,2.4614,,0.00082862,428.84,,10.652,425.46,175.65,98.117,18918
2458906,2020/2/26,Wed,2.4575,,0.00083606,428.15,,10.656,426.51,175.11,97.843,18947
2458907,2020/2/27,Thu,2.4425,,0.00083011,425.53,,10.69,423.6,174.39,98.297,19287
