PACIFIC Exchange Rate Service,,,,,,,,,,,,
Jul.Day,YYYY/MM/DD,Wdy,PHP/XDR,XPT/XDR,PLN/XDR,PTE/XDR,RON/XDR,RUB/XDR,SAR/XDR,RSD/XDR,XAG/XDR,SGD/XDR
2458851,2020/1/2,Thu,70.204,0.0014017,5.2561,248.18,5.9089,85.592,5.1889,,0.077183,1.8644
2458852,2020/1/3,Fri,70.719,0.0014067,5.2736,248.36,5.9302,85.724,5.1875,,0.075934,1.8655
2458855,2020/1/6,Mon,70.753,0.001408,5.2422,247.95,5.9007,85.567,5.1929,,0.07506,1.868
2458856,2020/1/7,Tue,70.396,0.0014387,5.2591,248.64,5.9182,85.686,5.1862,,0.076194,1.8675
2458857,2020/1/8,Wed,70.128,0.0014205,5.2738,249.02,5.9381,84.798,5.1802,,0.074959,1.865
2458858,2020/1/9,Thu,69.98,0.0014402,5.2777,249.06,5.9449,84.602,5.1766,,0.077037,1.8652
2458859,2020/1/10,Fri,69.573,0.0014243,5.2756,248.98,5.9383,84.289,5.1775,,0.07704,1.8614
2458862,2020/1/13,Mon,69.687,0.0014131,5.256,248.59,5.9307,84.573,5.1794,,0.076764,1.8594
2458863,2020/1/14,Tue,69.803,0.0014202,5.2399,248.79,5.9319,84.812,5.1798,,0.077682,1.8596
2458864,2020/1/15,Wed,69.968,0.0013639,5.2321,248.37,5.9176,85.009,5.1841,,0.077402,1.8603
2458865,2020/1/16,Thu,70.282,0.0013585,5.2392,248.64,5.9159,85.092,5.1833,,0.076711,1.8607
2458866,2020/1/17,Fri,70.303,0.0013582,5.2672,249.33,5.943,84.981,5.1765,,0.076407,1.8592
2458869,2020/1/20,Mon,70.196,0.0013574,5.2729,249.4,5.9391,84.916,5.1746,,0.076387,1.858
2458870,2020/1/21,Tue,70.415,0.0013878,5.2713,249.2,5.9355,85.349,5.1754,,0.076702,1.8614
2458871,2020/1/22,Wed,70.68,0.0013755,5.3015,249.49,5.9777,85.437,5.1761,,0.07764,1.8611
2458872,2020/1/23,Thu,70.123,0.0013769,5.2658,249.89,5.9295,85.405,5.1697,,0.07831,1.8623
2458873,2020/1/24,Fri,70.037,0.0013593,5.3147,250.29,5.9682,85.428,5.1652,,0.077228,1.8607
2458876,2020/1/27,Mon,70.005,0.0013934,5.3318,250.49,5.9675,86.708,5.1645,,0.075251,1.8686
2458877,2020/1/28,Tue,69.793,0.001401,5.3372,250.53,5.9683,85.928,5.1611,,0.076536,1.869
2458878,2020/1/29,Wed,70.031,0.0013979,5.3638,250.62,5.9815,86.147,5.161,,0.078735,1.872
2458879,2020/1/30,Thu,70.257,0.0014144,5.3553,250.39,5.967,87.287,5.1684,,0.077722,1.8775
