"","id","administrative_area_level_1","date2","hc_1","hc_2","hc_3","hc_4","hc_5","g1","g2","g3","max","cluster"
"1","AUS","Australia","2020-03",1,1,1,1,1,5,0,0,5,1
"2","AUS","Australia","2020-04",1,1,1,1,1,5,0,0,5,1
"3","AUS","Australia","2020-05",1,1,1,1,1,5,0,0,5,1
"4","AUS","Australia","2020-06",1,1,1,1,1,5,0,0,5,1
"5","AUS","Australia","2020-07",1,1,1,1,1,5,0,0,5,1
"6","AUS","Australia","2020-08",1,1,1,1,1,5,0,0,5,1
"7","AUS","Australia","2020-09",1,1,1,1,1,5,0,0,5,1
"8","AUS","Australia","2020-10",1,1,1,1,1,5,0,0,5,1
"9","AUS","Australia","2020-11",1,1,1,1,1,5,0,0,5,1
"10","AUS","Australia","2020-12",1,1,1,1,1,5,0,0,5,1
"11","AUS","Australia","2020-13",1,1,1,1,1,5,0,0,5,1
"12","AUS","Australia","2020-14",1,1,1,1,1,5,0,0,5,1
"13","AUS","Australia","2020-15",1,1,1,1,1,5,0,0,5,1
"14","AUS","Australia","2020-16",1,1,1,1,1,5,0,0,5,1
"15","AUS","Australia","2020-17",1,1,1,1,1,5,0,0,5,1
"16","AUS","Australia","2020-18",1,1,1,1,1,5,0,0,5,1
"17","AUS","Australia","2020-19",1,1,1,1,1,5,0,0,5,1
"18","AUS","Australia","2020-20",1,1,1,1,1,5,0,0,5,1
"19","AUS","Australia","2020-21",1,1,1,1,1,5,0,0,5,1
"20","AUS","Australia","2020-22",1,1,1,1,1,5,0,0,5,1
"21","AUS","Australia","2020-23",1,1,1,1,1,5,0,0,5,1
"22","AUS","Australia","2020-24",1,1,1,1,1,5,0,0,5,1
"23","AUS","Australia","2020-25",1,1,1,1,1,5,0,0,5,1
"24","AUS","Australia","2020-26",1,1,1,1,1,5,0,0,5,1
"25","AUS","Australia","2020-27",1,1,1,1,1,5,0,0,5,1
"26","AUS","Australia","2020-28",1,1,1,1,1,5,0,0,5,1
"27","AUS","Australia","2020-29",1,1,1,1,1,5,0,0,5,1
"28","AUS","Australia","2020-30",1,1,1,1,1,5,0,0,5,1
"29","AUS","Australia","2020-31",1,1,1,1,1,5,0,0,5,1
"30","AUS","Australia","2020-32",1,1,1,1,1,5,0,0,5,1
"31","AUS","Australia","2020-33",1,1,1,1,1,5,0,0,5,1
"32","AUS","Australia","2020-34",1,1,1,1,1,5,0,0,5,1
"33","AUS","Australia","2020-35",1,1,1,1,1,5,0,0,5,1
"34","AUS","Australia","2020-36",1,1,1,1,1,5,0,0,5,1
"35","AUS","Australia","2020-37",1,1,1,1,1,5,0,0,5,1
"36","AUS","Australia","2020-38",1,1,1,1,1,5,0,0,5,1
"37","AUS","Australia","2020-39",1,1,1,1,1,5,0,0,5,1
"38","AUS","Australia","2020-40",1,1,1,1,1,5,0,0,5,1
"39","AUS","Australia","2020-41",1,1,1,1,1,5,0,0,5,1
"40","AUS","Australia","2020-42",1,1,1,1,1,5,0,0,5,1
"41","AUS","Australia","2020-43",1,1,1,1,1,5,0,0,5,1
"42","AUS","Australia","2020-44",1,1,1,1,1,5,0,0,5,1
"43","AUS","Australia","2020-45",1,1,1,1,1,5,0,0,5,1
"44","AUS","Australia","2020-46",1,1,1,1,1,5,0,0,5,1
"45","AUS","Australia","2020-47",1,1,1,1,1,5,0,0,5,1
"46","AUS","Australia","2020-48",1,1,1,1,1,5,0,0,5,1
"47","AUS","Australia","2020-49",1,1,1,1,1,5,0,0,5,1
"48","AUS","Australia","2020-50",1,1,1,1,1,5,0,0,5,1
"49","AUS","Australia","2020-51",1,1,1,1,1,5,0,0,5,1
"50","AUS","Australia","2020-52",1,1,1,1,1,5,0,0,5,1
"51","AUS","Australia","2021-00",1,1,1,1,1,5,0,0,5,1
"52","AUS","Australia","2021-01",1,1,1,1,1,5,0,0,5,1
"53","AUS","Australia","2021-02",1,1,1,1,1,5,0,0,5,1
"54","AUS","Australia","2021-03",1,1,1,1,1,5,0,0,5,1
"55","AUS","Australia","2021-04",1,1,1,1,1,5,0,0,5,1
"56","AUS","Australia","2021-05",1,1,1,1,1,5,0,0,5,1
"57","AUS","Australia","2021-06",1,1,1,1,1,5,0,0,5,1
"58","AUS","Australia","2021-07",1,1,1,1,1,5,0,0,5,1
"59","AUS","Australia","2021-08",1,1,1,1,1,5,0,0,5,1
"60","AUS","Australia","2021-09",1,1,1,1,1,5,0,0,5,1
"61","AUS","Australia","2021-10",1,1,1,1,1,5,0,0,5,1
"62","AUS","Australia","2021-11",1,1,1,1,1,5,0,0,5,1
"63","AUS","Australia","2021-12",1,1,1,1,1,5,0,0,5,1
"64","AUS","Australia","2021-13",1,1,1,1,1,5,0,0,5,1
"65","AUS","Australia","2021-14",1,1,1,1,1,5,0,0,5,1
"66","AUS","Australia","2021-15",1,1,1,1,1,5,0,0,5,1
"67","AUS","Australia","2021-16",1,1,1,1,1,5,0,0,5,1
"68","AUS","Australia","2021-17",1,1,1,1,1,5,0,0,5,1
"69","AUS","Australia","2021-18",1,1,1,1,1,5,0,0,5,1
"70","AUS","Australia","2021-19",1,1,1,1,1,5,0,0,5,1
"71","AUS","Australia","2021-20",1,1,1,1,1,5,0,0,5,1
"72","AUS","Australia","2021-21",1,1,1,1,1,5,0,0,5,1
"73","AUS","Australia","2021-22",1,1,1,1,1,5,0,0,5,1
"74","AUS","Australia","2021-23",1,1,1,1,1,5,0,0,5,1
"75","AUS","Australia","2021-24",1,1,1,1,1,5,0,0,5,1
"76","AUS","Australia","2021-25",1,1,1,1,1,5,0,0,5,1
"77","AUS","Australia","2021-26",1,1,1,1,1,5,0,0,5,1
"78","AUS","Australia","2021-27",1,1,1,1,1,5,0,0,5,1
"79","AUS","Australia","2021-28",1,1,1,1,1,5,0,0,5,1
"80","AUS","Australia","2021-29",1,1,1,1,1,5,0,0,5,1
"81","AUS","Australia","2021-30",1,1,1,1,1,5,0,0,5,1
"82","AUS","Australia","2021-31",1,1,1,1,1,5,0,0,5,1
"83","AUS","Australia","2021-32",1,1,1,1,1,5,0,0,5,1
"84","AUS","Australia","2021-33",1,1,1,1,1,5,0,0,5,1
