Country,Last,Previous,Year,Reference,Unit
Albania,0.5,0.5,2021,Aug/21,%
Algeria,3,3,2021,Jul/21,%
Angola,20,15.5,2021,Jul/21,%
Argentina,38,38,2021,Aug/21,%
Armenia,7.25,7,2021,Sep/21,%
Australia,0.1,0.1,2021,Sep/21,%
Austria,0,0,2021,Sep/21,%
Azerbaijan,6.5,6.25,2021,Sep/21,%
Bahamas,4,4,2021,Jul/21,%
Bahrain,1,1,2021,Aug/21,%
Bangladesh,4.75,4.75,2021,Aug/21,%
Barbados,2,2,2021,Jul/21,%
Belarus,9.25,9.25,2021,Aug/21,%
Belgium,0,0,2021,Sep/21,%
Belize,2.3,2.3,2021,Aug/21,%
Benin,4,4,2021,Sep/21,%
Bhutan,6.86,6.86,2021,Jul/21,%
Bolivia,4.1,3.78,2021,Aug/21,%
Bosnia and Herzegovina,3.02,3.26,2021,Jun/21,%
Botswana,3.75,3.75,2021,Aug/21,%
Brazil,6.25,5.25,2021,Sep/21,%
Brunei,5.5,5.5,2021,Jun/21,%
Bulgaria,0,0,2021,Sep/21,%
Burkina Faso,4,4,2021,Sep/21,%
Burundi,6.79,6.59,2021,Mar/21,%
Cambodia,0.61,0.6,2021,Jun/21,%
Cameroon,3.25,3.25,2021,Aug/21,%
Canada,0.25,0.25,2021,Sep/21,%
Cape Verde,0.25,0.25,2021,Aug/21,%
Central African Republic,3.25,3.25,2021,Aug/21,%
Chad,3.25,3.25,2021,Aug/21,%
Chile,1.5,0.75,2021,Aug/21,%
China,3.85,3.85,2021,Sep/21,%
Colombia,1.75,1.75,2021,Aug/21,%
Comoros,0.94,0.94,2021,Mar/21,%
Congo,8.5,8.5,2021,Aug/21,%
Costa Rica,0.75,0.75,2021,Sep/21,%
Croatia,2.5,2.5,2021,Jul/21,%
Cuba,2.25,2.25,2021,Jul/21,%
Cyprus,0,0,2021,Sep/21,%
Czech Republic,0.75,0.5,2021,Aug/21,%
Denmark,-0.5,-0.5,2021,Aug/21,%
Dominican Republic,3,3,2021,Aug/21,%
Ecuador,9.33,9.33,2021,Aug/21,%
Egypt,8.25,8.25,2021,Sep/21,%
El Salvador,3.87,3.89,2021,Aug/21,%
Equatorial Guinea,3.25,3.25,2021,Aug/21,%
Estonia,0,0,2021,Sep/21,%
Ethiopia,7,7,2021,Dec/20,%
Euro Area,0,0,2021,Sep/21,%
Fiji,0.25,0.25,2021,Aug/21,%
Finland,0,0,2021,Sep/21,%
France,0,0,2021,Sep/21,%
