"","date","tmp","id"
"1",2020-01-01,-4,"AFG"
"2",2020-01-02,-6,"AFG"
"3",2020-01-03,-18,"AFG"
"4",2020-01-04,-16,"AFG"
"5",2020-01-05,-27,"AFG"
"6",2020-01-06,-24,"AFG"
"7",2020-01-07,-48,"AFG"
"8",2020-01-08,-46,"AFG"
"9",2020-01-09,-52,"AFG"
"10",2020-01-10,-54,"AFG"
"11",2020-01-11,-23,"AFG"
"12",2020-01-12,-2,"AFG"
"13",2020-01-13,-1,"AFG"
"14",2020-01-14,-31,"AFG"
"15",2020-01-15,-42,"AFG"
"16",2020-01-16,-43,"AFG"
"17",2020-01-17,-36,"AFG"
"18",2020-01-18,-48,"AFG"
"19",2020-01-19,-37,"AFG"
"20",2020-01-20,-16,"AFG"
"21",2020-01-21,-16,"AFG"
"22",2020-01-22,-24,"AFG"
"23",2020-01-23,-30,"AFG"
"24",2020-01-24,-16,"AFG"
"25",2020-01-25,-1,"AFG"
"26",2020-01-26,-14,"AFG"
"27",2020-01-27,-21,"AFG"
"28",2020-01-28,-14,"AFG"
"29",2020-01-29,-12,"AFG"
"30",2020-01-30,-3,"AFG"
"31",2020-01-31,-3,"AFG"
"32",2020-02-01,-3,"AFG"
"33",2020-02-02,-1,"AFG"
"34",2020-02-03,-9,"AFG"
"35",2020-02-04,-9,"AFG"
"36",2020-02-05,-18,"AFG"
"37",2020-02-06,4,"AFG"
"38",2020-02-07,5,"AFG"
"39",2020-02-08,14,"AFG"
"40",2020-02-09,17,"AFG"
"41",2020-02-10,26,"AFG"
"42",2020-02-11,8,"AFG"
"43",2020-02-12,6,"AFG"
"44",2020-02-13,18,"AFG"
"45",2020-02-14,19,"AFG"
"46",2020-02-15,42,"AFG"
"47",2020-02-16,41,"AFG"
"48",2020-02-17,51,"AFG"
"49",2020-02-18,74,"AFG"
"50",2020-02-19,53,"AFG"
"51",2020-02-20,51,"AFG"
"52",2020-02-21,80,"AFG"
"53",2020-02-22,92,"AFG"
"54",2020-02-23,87,"AFG"
"55",2020-02-24,95,"AFG"
"56",2020-02-25,105,"AFG"
"57",2020-02-26,119,"AFG"
"58",2020-02-27,109,"AFG"
"59",2020-02-28,72,"AFG"
"60",2020-02-29,62,"AFG"
"61",2020-03-01,83,"AFG"
"62",2020-03-02,97,"AFG"
"63",2020-03-03,104,"AFG"
"64",2020-03-04,59,"AFG"
"65",2020-03-05,48,"AFG"
"66",2020-03-06,64,"AFG"
"67",2020-03-07,49,"AFG"
"68",2020-03-08,48,"AFG"
"69",2020-03-09,67,"AFG"
"70",2020-03-10,49,"AFG"
"71",2020-03-11,52,"AFG"
"72",2020-03-12,43,"AFG"
"73",2020-03-13,64,"AFG"
"74",2020-03-14,66,"AFG"
"75",2020-03-15,92,"AFG"
"76",2020-03-16,103,"AFG"
"77",2020-03-17,119,"AFG"
"78",2020-03-18,131,"AFG"
"79",2020-03-19,132,"AFG"
"80",2020-03-20,91,"AFG"
"81",2020-03-21,94,"AFG"
"82",2020-03-22,121,"AFG"
"83",2020-03-23,91,"AFG"
"84",2020-03-24,84,"AFG"
"85",2020-03-25,79,"AFG"
"86",2020-03-26,89,"AFG"
"87",2020-03-27,97,"AFG"
"88",2020-03-28,93,"AFG"
"89",2020-03-29,106,"AFG"
"90",2020-03-30,71,"AFG"
"91",2020-03-31,49,"AFG"
"92",2020-04-01,68,"AFG"
"93",2020-04-02,102,"AFG"
"94",2020-04-03,126,"AFG"
"95",2020-04-04,139,"AFG"
"96",2020-04-05,120,"AFG"
"97",2020-04-06,90,"AFG"
"98",2020-04-07,112,"AFG"
"99",2020-04-08,132,"AFG"
"100",2020-04-09,113,"AFG"
"101",2020-04-10,142,"AFG"
"102",2020-04-11,151,"AFG"
"103",2020-04-12,161,"AFG"
"104",2020-04-13,135,"AFG"
"105",2020-04-14,113,"AFG"
"106",2020-04-15,139,"AFG"
"107",2020-04-16,128,"AFG"
"108",2020-04-17,91,"AFG"
"109",2020-04-18,128,"AFG"
"110",2020-04-19,132,"AFG"
"111",2020-04-20,112,"AFG"
"112",2020-04-21,144,"AFG"
"113",2020-04-22,161,"AFG"
"114",2020-04-23,174,"AFG"
"115",2020-04-24,167,"AFG"
"116",2020-04-25,184,"AFG"
"117",2020-04-26,200,"AFG"
"118",2020-04-27,196,"AFG"
"119",2020-04-28,150,"AFG"
"120",2020-04-29,153,"AFG"
"121",2020-04-30,187,"AFG"
"122",2020-05-01,158,"AFG"
"123",2020-05-02,153,"AFG"
"124",2020-05-03,173,"AFG"
"125",2020-05-04,166,"AFG"
"126",2020-05-05,168,"AFG"
"127",2020-05-06,174,"AFG"
"128",2020-05-07,192,"AFG"
"129",2020-05-08,191,"AFG"
"130",2020-05-09,203,"AFG"
"131",2020-05-10,214,"AFG"
"132",2020-05-11,191,"AFG"
"133",2020-05-12,188,"AFG"
"134",2020-05-13,162,"AFG"
"135",2020-05-14,142,"AFG"
"136",2020-05-15,158,"AFG"
"137",2020-05-16,171,"AFG"
"138",2020-05-17,147,"AFG"
"139",2020-05-18,162,"AFG"
"140",2020-05-19,186,"AFG"
"141",2020-05-20,197,"AFG"
"142",2020-05-21,217,"AFG"
"143",2020-05-22,228,"AFG"
"144",2020-05-23,232,"AFG"
"145",2020-05-24,242,"AFG"
"146",2020-05-25,240,"AFG"
"147",2020-05-26,249,"AFG"
"148",2020-05-27,240,"AFG"
"149",2020-05-28,239,"AFG"
"150",2020-05-29,226,"AFG"
"151",2020-05-30,231,"AFG"
"152",2020-05-31,234,"AFG"
"153",2020-06-01,229,"AFG"
"154",2020-06-02,228,"AFG"
"155",2020-06-03,215,"AFG"
"156",2020-06-04,241,"AFG"
"157",2020-06-05,256,"AFG"
"158",2020-06-06,257,"AFG"
"159",2020-06-07,253,"AFG"
"160",2020-06-08,254,"AFG"
"161",2020-06-09,239,"AFG"
"162",2020-06-10,236,"AFG"
"163",2020-06-11,241,"AFG"
"164",2020-06-12,230,"AFG"
"165",2020-06-13,202,"AFG"
"166",2020-06-14,246,"AFG"
"167",2020-06-15,254,"AFG"
"168",2020-06-16,250,"AFG"
"169",2020-06-17,259,"AFG"
"170",2020-06-18,253,"AFG"
"171",2020-06-19,264,"AFG"
"172",2020-06-20,262,"AFG"
"173",2020-06-21,259,"AFG"
"174",2020-06-22,287,"AFG"
"175",2020-06-23,264,"AFG"
"176",2020-06-24,251,"AFG"
"177",2020-06-25,269,"AFG"
"178",2020-06-26,269,"AFG"
"179",2020-06-27,253,"AFG"
"180",2020-06-28,234,"AFG"
"181",2020-06-29,251,"AFG"
"182",2020-06-30,214,"AFG"
"183",2020-07-01,248,"AFG"
"184",2020-07-02,257,"AFG"
"185",2020-07-03,266,"AFG"
"186",2020-07-04,262,"AFG"
"187",2020-07-05,249,"AFG"
"188",2020-07-06,256,"AFG"
"189",2020-07-07,242,"AFG"
"190",2020-07-08,258,"AFG"
"191",2020-07-09,272,"AFG"
"192",2020-07-10,271,"AFG"
"193",2020-07-11,267,"AFG"
"194",2020-07-12,244,"AFG"
"195",2020-07-13,212,"AFG"
"196",2020-07-14,232,"AFG"
"197",2020-07-15,250,"AFG"
"198",2020-07-16,256,"AFG"
"199",2020-07-17,249,"AFG"
"200",2020-07-18,283,"AFG"
"201",2020-07-19,293,"AFG"
"202",2020-07-20,287,"AFG"
"203",2020-07-21,280,"AFG"
"204",2020-07-22,284,"AFG"
"205",2020-07-23,304,"AFG"
"206",2020-07-24,298,"AFG"
"207",2020-07-25,300,"AFG"
"208",2020-07-26,292,"AFG"
"209",2020-07-27,299,"AFG"
"210",2020-07-28,300,"AFG"
"211",2020-07-29,299,"AFG"
"212",2020-07-30,302,"AFG"
"213",2020-07-31,301,"AFG"
"214",2020-08-01,274,"AFG"
"215",2020-08-02,267,"AFG"
"216",2020-08-03,297,"AFG"
"217",2020-08-04,291,"AFG"
"218",2020-08-05,286,"AFG"
"219",2020-08-06,294,"AFG"
"220",2020-08-07,306,"AFG"
"221",2020-08-08,308,"AFG"
"222",2020-08-09,288,"AFG"
"223",2020-08-10,298,"AFG"
"224",2020-08-11,301,"AFG"
"225",2020-08-12,304,"AFG"
"226",2020-08-13,303,"AFG"
"227",2020-08-14,299,"AFG"
"228",2020-08-15,299,"AFG"
"229",2020-08-16,314,"AFG"
"230",2020-08-17,317,"AFG"
"231",2020-08-18,308,"AFG"
"232",2020-08-19,289,"AFG"
"233",2020-08-20,267,"AFG"
"234",2020-08-21,269,"AFG"
"235",2020-08-22,277,"AFG"
"236",2020-08-23,286,"AFG"
"237",2020-08-24,292,"AFG"
"238",2020-08-25,273,"AFG"
"239",2020-08-26,224,"AFG"
"240",2020-08-27,229,"AFG"
"241",2020-08-28,247,"AFG"
"242",2020-08-29,249,"AFG"
"243",2020-08-30,259,"AFG"
"244",2020-08-31,234,"AFG"
"245",2020-09-01,241,"AFG"
"246",2020-09-02,242,"AFG"
"247",2020-09-03,252,"AFG"
"248",2020-09-04,254,"AFG"
"249",2020-09-05,258,"AFG"
"250",2020-09-06,259,"AFG"
"251",2020-09-07,260,"AFG"
"252",2020-09-08,253,"AFG"
"253",2020-09-09,251,"AFG"
"254",2020-09-10,261,"AFG"
"255",2020-09-11,251,"AFG"
"256",2020-09-12,256,"AFG"
"257",2020-09-13,253,"AFG"
"258",2020-09-14,254,"AFG"
"259",2020-09-15,239,"AFG"
"260",2020-09-16,232,"AFG"
"261",2020-09-17,237,"AFG"
"262",2020-09-18,218,"AFG"
"263",2020-09-19,202,"AFG"
"264",2020-09-20,215,"AFG"
"265",2020-09-21,222,"AFG"
"266",2020-09-22,211,"AFG"
"267",2020-09-23,199,"AFG"
"268",2020-09-24,198,"AFG"
"269",2020-09-25,206,"AFG"
"270",2020-09-26,198,"AFG"
"271",2020-09-27,195,"AFG"
"272",2020-09-28,188,"AFG"
"273",2020-09-29,183,"AFG"
"274",2020-09-30,186,"AFG"
"275",2020-10-01,172,"AFG"
"276",2020-10-02,179,"AFG"
"277",2020-10-03,177,"AFG"
"278",2020-10-04,179,"AFG"
"279",2020-10-05,172,"AFG"
"280",2020-10-06,182,"AFG"
"281",2020-10-07,188,"AFG"
"282",2020-10-08,183,"AFG"
"283",2020-10-09,183,"AFG"
"284",2020-10-10,188,"AFG"
"285",2020-10-11,176,"AFG"
"286",2020-10-12,166,"AFG"
"287",2020-10-13,149,"AFG"
"288",2020-10-14,156,"AFG"
"289",2020-10-15,158,"AFG"
"290",2020-10-16,154,"AFG"
"291",2020-10-17,154,"AFG"
"292",2020-10-18,151,"AFG"
